Tanggal,Waktu,Tekanan
2018-03-01,00:03:20,594
2018-03-01,00:08:58,169
2018-03-01,00:14:25,492
2018-03-01,00:16:59,301
2018-03-01,00:19:40,477
2018-03-01,00:22:13,360
2018-03-01,00:24:52,418
2018-03-01,00:30:00,184
2018-03-01,00:32:38,360
2018-03-01,00:35:11,243
2018-03-01,00:40:23,477
2018-03-01,00:45:38,565
2018-03-01,00:48:18,624
2018-03-01,00:50:49,228
2018-03-01,00:53:28,418
2018-03-01,00:56:03,580
2018-03-01,01:01:16,536
2018-03-01,01:03:54,228
2018-03-01,01:06:29,287
2018-03-01,01:09:09,375
2018-03-01,01:11:41,272
2018-03-01,01:14:19,477
2018-03-01,01:19:30,536
2018-03-01,01:22:09,331
2018-03-01,01:24:39,389
2018-03-01,01:27:21,331
2018-03-01,01:29:51,331
2018-03-01,01:32:37,331
2018-03-01,01:35:07,360
2018-03-01,01:40:48,272
2018-03-01,01:46:31,580
2018-03-01,01:49:16,389
2018-03-01,01:52:05,624
2018-03-01,01:54:44,448
2018-03-01,01:57:21,272
2018-03-01,02:00:02,389
2018-03-01,02:02:36,316
2018-03-01,02:07:46,521
2018-03-01,02:10:23,301
2018-03-01,02:12:53,404
2018-03-01,02:15:31,389
2018-03-01,02:18:04,67
2018-03-01,02:20:38,404
2018-03-01,02:23:15,389
2018-03-01,02:28:42,565
2018-03-01,02:31:21,448
2018-03-01,02:36:44,770
2018-03-01,02:42:23,360
2018-03-01,02:45:02,624
2018-03-01,02:47:35,360
2018-03-01,02:50:11,594
2018-03-01,02:52:44,594
2018-03-01,02:55:19,433
2018-03-01,02:58:01,433
2018-03-01,03:00:33,418
2018-03-01,03:03:11,375
2018-03-01,03:05:40,404
2018-03-01,03:08:33,389
2018-03-01,03:11:04,375
2018-03-01,03:13:38,536
2018-03-01,03:18:53,272
2018-03-01,03:21:30,404
2018-03-01,03:24:06,360
2018-03-01,03:29:13,257
2018-03-01,03:31:51,536
2018-03-01,03:34:30,638
2018-03-01,03:37:00,477
2018-03-01,03:39:42,389
2018-03-01,03:42:16,389
2018-03-01,03:44:53,52
2018-03-01,03:47:25,418
2018-03-01,03:52:38,375
2018-03-01,03:55:17,316
2018-03-01,04:00:31,404
2018-03-01,04:03:07,345
2018-03-01,04:05:45,389
2018-03-01,04:08:21,418
2018-03-01,04:10:50,228
2018-03-01,04:13:24,389
2018-03-01,04:16:00,404
2018-03-01,04:21:09,506
2018-03-01,04:23:45,550
2018-03-01,04:26:20,418
2018-03-01,04:28:59,360
2018-03-01,04:31:32,638
2018-03-01,04:34:07,667
2018-03-01,04:36:41,448
2018-03-01,04:39:17,550
2018-03-01,04:44:32,550
2018-03-01,04:47:07,375
2018-03-01,04:49:37,550
2018-03-01,04:54:55,448
2018-03-01,04:57:33,418
2018-03-01,05:00:08,345
2018-03-01,05:02:42,404
2018-03-01,05:05:23,389
2018-03-01,05:08:01,609
2018-03-01,05:13:11,243
2018-03-01,05:15:53,418
2018-03-01,05:18:31,433
2018-03-01,05:21:02,404
2018-03-01,05:23:43,565
2018-03-01,05:26:20,389
2018-03-01,05:28:51,477
2018-03-01,05:31:36,389
2018-03-01,05:34:14,360
2018-03-01,05:50:10,565
2018-03-01,05:55:24,360
2018-03-01,05:57:56,389
2018-03-01,06:00:36,741
2018-03-01,06:03:10,418
2018-03-01,06:05:46,360
2018-03-01,06:08:24,389
2018-03-01,06:10:56,404
2018-03-01,06:13:31,287
2018-03-01,06:16:13,624
2018-03-01,06:18:45,316
2018-03-01,06:21:21,448
2018-03-01,06:23:58,697
2018-03-01,06:26:30,609
2018-03-01,06:29:08,550
2018-03-01,06:31:45,580
2018-03-01,06:34:23,521
2018-03-01,06:36:58,477
2018-03-01,06:39:31,667
2018-03-01,06:42:07,521
2018-03-01,06:44:46,492
2018-03-01,06:47:22,433
2018-03-01,06:50:00,506
2018-03-01,06:52:35,492
2018-03-01,06:55:09,389
2018-03-01,06:57:40,609
2018-03-01,07:00:17,404
2018-03-01,07:02:57,462
2018-03-01,07:05:27,609
2018-03-01,07:08:03,462
2018-03-01,07:10:41,580
2018-03-01,07:13:18,931
2018-03-01,07:15:50,550
2018-03-01,07:18:32,448
2018-03-01,07:21:10,521
2018-03-01,07:23:51,594
2018-03-01,07:26:29,418
2018-03-01,07:29:07,580
2018-03-01,07:31:45,550
2018-03-01,07:34:25,770
2018-03-01,07:37:06,536
2018-03-01,07:42:22,536
2018-03-01,07:44:52,726
2018-03-01,07:47:29,1151
2018-03-01,07:50:03,726
2018-03-01,07:52:39,785
2018-03-01,07:55:12,916
2018-03-01,07:57:52,594
2018-03-01,08:03:02,799
2018-03-01,08:05:35,594
2018-03-01,08:08:12,521
2018-03-01,08:10:53,594
2018-03-01,08:16:12,770
2018-03-01,08:21:20,565
2018-03-01,08:23:54,580
2018-03-01,08:26:33,565
2018-03-01,08:29:08,536
2018-03-01,08:31:46,843
2018-03-01,08:34:21,550
2018-03-01,08:36:59,550
2018-03-01,08:39:31,667
2018-03-01,08:42:06,521
2018-03-01,08:44:39,565
2018-03-01,08:47:17,711
2018-03-01,08:49:51,521
2018-03-01,08:52:24,506
2018-03-01,08:55:04,287
2018-03-01,08:57:42,506
2018-03-01,09:00:17,477
2018-03-01,09:05:30,667
2018-03-01,09:10:40,462
2018-03-01,09:13:19,521
2018-03-01,09:15:57,609
2018-03-01,09:18:35,521
2018-03-01,09:21:14,609
2018-03-01,09:23:52,638
2018-03-01,09:26:30,711
2018-03-01,09:29:11,521
2018-03-01,09:31:51,433
2018-03-01,09:34:27,521
2018-03-01,09:37:07,682
2018-03-01,09:42:24,624
2018-03-01,09:44:57,477
2018-03-01,09:47:28,389
2018-03-01,09:50:04,492
2018-03-01,09:52:35,770
2018-03-01,09:55:11,448
2018-03-01,09:57:47,887
2018-03-01,10:00:24,375
2018-03-01,10:03:02,1253
2018-03-01,10:05:39,829
2018-03-01,10:08:12,389
2018-03-01,10:10:55,477
2018-03-01,10:13:37,287
2018-03-01,10:16:11,477
2018-03-01,10:18:44,360
2018-03-01,10:21:29,433
2018-03-01,10:24:05,843
2018-03-01,10:26:42,433
2018-03-01,10:29:17,404
2018-03-01,10:32:01,462
2018-03-01,10:34:34,345
2018-03-01,10:37:13,360
2018-03-01,10:39:45,682
2018-03-01,10:42:27,418
2018-03-01,10:45:00,785
2018-03-01,10:50:10,169
2018-03-01,10:52:43,389
2018-03-01,10:55:20,843
2018-03-01,11:00:29,345
2018-03-01,11:03:06,404
2018-03-01,11:05:38,741
2018-03-01,11:10:51,389
2018-03-01,11:13:31,433
2018-03-01,11:16:11,272
2018-03-01,11:18:47,272
2018-03-01,11:21:20,653
2018-03-01,11:23:56,404
2018-03-01,11:31:43,697
2018-03-01,11:34:19,184
2018-03-01,11:36:52,565
2018-03-01,11:39:25,228
2018-03-01,11:41:59,829
2018-03-01,11:47:08,418
2018-03-01,11:49:44,638
2018-03-01,11:52:16,785
2018-03-01,11:54:54,404
2018-03-01,11:57:25,726
2018-03-01,12:02:34,418
2018-03-01,12:07:43,462
2018-03-01,12:10:21,433
2018-03-01,12:13:03,843
2018-03-01,12:15:45,477
2018-03-01,12:18:14,433
2018-03-01,12:23:31,711
2018-03-01,12:28:41,594
2018-03-01,12:31:20,580
2018-03-01,12:33:53,550
2018-03-01,12:36:34,843
2018-03-01,12:39:07,1341
2018-03-01,12:41:41,785
2018-03-01,12:44:17,741
2018-03-01,12:46:56,506
2018-03-01,12:49:33,389
2018-03-01,12:52:07,389
2018-03-01,12:54:52,916
2018-03-01,12:57:28,433
2018-03-01,12:59:58,375
2018-03-01,13:02:32,375
2018-03-01,13:05:11,990
2018-03-01,13:07:52,506
2018-03-01,13:10:36,389
2018-03-01,13:13:13,536
2018-03-01,13:15:53,550
2018-03-01,13:18:29,565
2018-03-01,13:21:04,594
2018-03-01,13:23:42,418
2018-03-01,13:26:16,653
2018-03-01,13:31:27,462
2018-03-01,13:34:03,375
2018-03-01,13:39:23,492
2018-03-01,13:44:32,638
2018-03-01,13:49:43,1048
2018-03-01,13:52:37,755
2018-03-01,13:55:11,1122
2018-03-01,13:57:48,990
2018-03-01,14:00:17,653
2018-03-01,14:02:54,653
2018-03-01,14:05:27,1107
2018-03-01,14:08:05,653
2018-03-01,14:10:45,697
2018-03-01,14:13:26,1209
2018-03-01,14:16:05,711
2018-03-01,14:21:26,960
2018-03-01,14:24:01,565
2018-03-01,14:26:38,697
2018-03-01,14:29:13,741
2018-03-01,14:31:46,755
2018-03-01,14:34:25,755
2018-03-01,14:36:56,1400
2018-03-01,14:39:32,770
2018-03-01,14:42:02,755
2018-03-01,14:44:36,873
2018-03-01,14:47:15,755
2018-03-01,14:49:50,653
2018-03-01,14:52:21,1004
2018-03-01,14:54:59,990
2018-03-01,14:57:29,990
2018-03-01,15:00:05,873
2018-03-01,15:02:41,829
2018-03-01,15:05:19,1224
2018-03-01,15:07:52,785
2018-03-01,15:10:28,887
2018-03-01,15:13:02,1136
2018-03-01,15:15:37,858
2018-03-01,15:18:10,902
2018-03-01,15:20:48,843
2018-03-01,15:23:20,726
2018-03-01,15:25:51,1048
2018-03-01,15:28:29,770
2018-03-01,15:31:01,785
2018-03-01,15:33:36,990
2018-03-01,15:36:09,902
2018-03-01,15:41:23,858
2018-03-01,15:43:54,741
2018-03-01,15:46:26,843
2018-03-01,15:49:02,829
2018-03-01,15:51:31,1209
2018-03-01,15:54:06,726
2018-03-01,15:56:50,1297
2018-03-01,15:59:24,858
2018-03-01,16:02:00,1356
2018-03-01,16:07:55,873
2018-03-01,16:10:32,902
2018-03-01,16:13:08,946
2018-03-01,16:15:37,829
2018-03-01,16:18:13,960
2018-03-01,16:20:44,1649
2018-03-01,16:23:23,1239
2018-03-01,16:26:01,960
2018-03-01,16:31:25,1429
2018-03-01,16:34:00,946
2018-03-01,16:36:32,990
2018-03-01,16:39:06,931
2018-03-01,16:41:37,1502
2018-03-01,16:44:14,1078
2018-03-01,16:46:52,1107
2018-03-01,16:49:27,990
2018-03-01,16:51:58,1122
2018-03-01,16:54:32,960
2018-03-01,16:57:05,1136
2018-03-01,16:59:48,1034
2018-03-01,17:02:18,1649
